Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,1.24262183,2.02644176,2.50918476,4.1096608,4.27234209,4.90801801,4.50335736,5.28358972,5.18291243
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,52.87919832,57.82017077,61.19819899,72.68183802,97.48026796,96.16914501,106.61737091,109.30512639,117.16323295,150.91944675,163.45531441,177.65149054,188.81141232,220.96411359,243.56748741,225.38194199
Algeria,144.89477994,140.04744613,145.82724303,152.05069051,147.60044921,137.91778216,164.3370313,174.17185229,184.78924615,161.44312613,159.63932408,173.09188178,211.12420232,238.13694061,289.06107376,257.05260891
American Samoa,,,,,,,,,,,,,,,,
Andorra,946.4859299,1041.12110959,1182.02192379,1671.31019004,1207.32117482,1274.91200034,1343.5849262,1481.15859366,1526.30869533,1610.04755553,1712.18575829,2007.29227744,2109.76787812,2248.62601642,2385.12780625,2281.09696825
Angola,59.53714623,33.10358708,37.48401619,30.42741578,32.88222109,44.57177451,70.31752571,49.95780374,58.43523402,47.88302678,53.13505603,82.71817305,104.97697544,160.93034974,267.23904626,138.64032504
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,333.5130089,322.40919149,348.11506645,369.60178901,391.49009823,403.45676713,379.83201779,388.00526342,411.67109643,436.69507506,463.6515843,535.69916387,594.6120798,602.08981473,585.45515422,702.97346958
Argentina,387.29584536,383.15375571,410.10960101,433.50872773,468.04595193,452.26736694,449.75893454,352.48653139,378.56617296,421.5324085,496.47967227,566.89298911,667.81496404,761.7628515,920.68716934,702.55796233
Armenia,27.66931946,24.59844298,22.75914543,29.18051546,30.16018893,23.12912015,36.39122872,35.86137254,46.53329542,48.56011216,60.56222508,75.86080669,90.24042879,102.29638613,106.4271575,96.92431883
Aruba,,,,,,,,,,,,,,,,
Australia,1050.15373271,1109.58749878,1206.75441599,1288.32869498,1426.12323497,1505.31710337,1573.2435671,1701.81763334,1757.27367293,1907.69882293,1978.65728105,2089.24400047,2237.12118308,2317.7136139,2368.72782548,2339.67950355
Austria,1654.83292164,1695.12760309,1851.22987918,1978.83702539,2097.67091972,2198.61390969,2210.8308506,2317.58308391,2415.67409748,2568.45309784,2646.3606679,2828.43007533,2964.37691313,3185.55607395,3330.2176837,3401.19929183
Azerbaijan,20.75880448,22.60998594,19.98688477,16.27626607,19.18307297,18.98571908,20.63302981,21.45696398,25.24576878,35.0418355,38.70105101,52.03757231,74.95529977,74.36257811,128.08219633,117.49311705
Bahamas,477.33066919,498.08549561,527.9297631,577.56168269,623.32156512,649.98303091,667.75683504,707.88091477,743.71179148,826.76343983,820.88870646,987.25561358,979.95111504,1009.29528527,976.76150339,906.65665206
Bahrain,571.57797307,576.9075286,606.70335394,617.2565226,633.02411809,550.66569381,622.0347446,683.57606692,719.92216203,704.55928073,700.19248353,668.28573222,674.49696766,694.03185976,759.06500134,794.14671973
Bangladesh,4.11133195,4.15837703,3.92026286,3.81638089,3.87012092,3.85381493,4.10101761,4.31412232,4.32716755,4.88819512,4.58938706,5.25328818,5.66654969,5.77024294,6.80175942,8.07426409
Barbados,433.82556771,444.42417813,435.19295355,436.07254281,453.89982409,520.46556275,560.77939087,632.9775116,600.4354868,774.05871081,682.27790146,889.26810437,917.53918385,965.40761994,690.41225261,990.35767032
Belarus,164.79588887,169.40412199,223.14780414,208.36047517,225.7551674,240.57626681,265.2431515,273.70475605,320.79104308,373.70279166,426.82121924,433.62522833,492.89367848,489.89984964,500.77851838,610.69968935
Belgium,1313.53434763,1411.49288395,1396.39662531,1438.23915984,1527.94803632,1675.76210706,1783.89217846,1876.7548798,2269.57455005,2406.23811228,2454.76177084,2423.09306581,2527.28429479,2784.68161598,2964.89867915,3008.523803
Belize,101.7876805,79.54848678,90.38071278,88.2636417,89.72572099,103.8725587,134.80948558,133.43210476,153.84756729,156.59683849,171.90585238,184.04571533,214.153186,221.04894507,250.7315214,236.72684615
Benin,21.52854591,21.38426919,19.75991631,21.78679329,24.26721113,23.23221129,29.32986811,23.43293585,28.18837704,28.50319509,32.26046027,33.33992535,34,33,37,32
Bermuda,,,,,,,,,,,,,,,,
Bhutan,41.52794246,63.76473229,76.47704173,80.84829949,119.9346656,130.97226023,129.11708697,191.31810838,112.37660186,103.0486123,123.14493897,158.38501684,189.63804286,211.46088626,219.60163371,238.56596569
Bolivia,77.66489455,84.2350908,86.44540003,96.41072355,111.02282551,115.43932353,120.64077245,134.94427157,113.32034209,118.80900326,139.3263835,134.48838289,135.86884977,145.33318713,153.05005194,146.60424393
Bosnia and Herzegovina,71.20471409,127.01967291,125.77715975,135.49288954,201.04472814,181.55756552,204.52727492,222.23772269,293.07521864,301.42628839,316.65651663,370.49214917,435.36118487,519.05605879,572.82658614,597.10008661
Botswana,130.32653816,139.76513476,172.30717381,176.86670075,176.61791664,248.85179094,328.90541405,415.04755581,421.60578899,709.99644716,656.35397816,607.32114114,790.78060342,805.4874449,984.91938433,830.18039889
Brazil,179.47997346,178.29409672,194.8779161,191.32598173,202.09609328,202.4235986,220.18592551,236.77127131,234.35513769,270.74389322,279.05988723,319.64248616,346.22057361,368.68990736,401.26841157,483.49330821
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,955.5062614,1284.43279612,1252.45955437,1522.90319497,1338.82729689,1110.91993178,1137.34568553,1173.74485182,1213.59844154,1193.5234545,1075.63774375,988.99458328,1049.30862002,1027.7341433,1290.80963015,1229.77354049
Bulgaria,214.96503518,167.96010759,183.89545955,199.85947861,224.43774999,234.54886273,294.96060821,352.04463142,387.68537894,395.19985905,438.34315528,434.79635077,489.93705093,569.09861514,550.59455824,516.24802704
Burkina Faso,10.90640906,12.42225035,14.00084266,14.76922584,16.45789546,15.61852627,15.02671142,18.51406791,23.14196518,30.94434855,41.48337946,40.14368407,44.09514213,47.75627147,44.16013287,47.18837801
Burundi,5.92157963,6.0748635,4.57833826,5.12638544,5.06993631,5.67359829,7.24396628,7.09420713,6.18907536,12.46072201,14.71958931,18.31474498,19.72514561,18.0692669,16.36619881,18.05005945
Cambodia,6.8777103,16.73037146,13.74685758,9.51497751,9.45495517,11.86402596,16.67024439,20.99379934,27.37265631,29.85675136,23.10388053,25.28808291,31.1250661,34.8455064,40.40400718,45.07574339
Cameroon,12.09672522,12.51625612,14.34639879,11.96633982,13.16254307,15.32005422,19.37913847,22.88188316,24.5351734,21.7004784,22.241759,22.27330361,22.70834329,22.87290104,30.21754867,36.00660909
Canada,1463.52447882,1455.04296576,1507.74972395,1629.5031132,1690.53470311,1772.34533632,1912.49490887,1996.12912643,2145.92980085,2254.65469046,2422.02439103,2563.14781542,2703.33998941,2816.72354881,3047.06193723,3104.41286152
Cape Verde,61.51347306,59.29725216,59.53282779,64.8557563,63.97151631,69.91016056,82.15619855,84.01221407,81.17264102,93.97569118,96.67887613,124.74381781,125.78111126,129.5294819,129.16252043,138.08723234
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,8.90418006,6.53286574,8.72293147,7.41566442,8.91168602,10.81594593,10.16668327,10.97261109,10.18126281,9.85672213,8.85072062,9.48093598,10.41350945,9.99258075,10.42433091,11.01868774
Chad,12.63635878,12.97897532,12.93779812,11.56562187,13.52368643,17.74371775,17.57128449,19.35226685,23.86806683,21.22716256,26.70822798,17.85871471,13.50664931,10.55572288,11.89584249,15.40084611
Channel Islands,,,,,,,,,,,,,,,,
